"Cód","Código de barras","Nome","Fornecedor","Fabricante","Preço Tabela","Replicação de preço","Custo","Resultado Financeiro","Markup","Estoque","Aliquota","Grupo linha","Sub grupo","Comissão Vendedor","Comissão Veterinário","CSOSN/CST","Status","Código de barras 2","Código de barras 3","Código de barras 4"
"537","7898948410264","AL CAES PET DELICIA PAPINHA DE FRANGO LT 320G","ALFAVET","NAO INFORMADO","R$ 22,99","Ativo","R$ 16,10","R$ 6,89","42,8%","6","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"531","7898948410158","AL CAES PET DELICIA RISOTNHO DE FRANGO LT 320G","ALFAVET","NAO INFORMADO","R$ 22,99","Ativo","R$ 14,00","R$ 8,99","64,2%","11","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"517","7898948410349","AL CAES PET DELICIA SENIOR LT 320G","ALFAVET","NAO INFORMADO","R$ 22,99","Ativo","R$ 16,10","R$ 6,89","42,8%","5","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"5333","7897807202729","AL CAES PITTY 15KG","CD OBOM ATACADAO","NAO INFORMADO","R$ 69,90","Ativo","R$ 44,90","R$ 25,00","55,7%","0","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"5684","7890000005684","AL CAES PITTY A GRANEL KG","SEM FORNECEDOR CADASTRADO","NAO INFORMADO","R$ 0,00","Ativo","R$ 0,00","R$ 0,00","100,0%","0","Subst. Tributaria","GRANEL","NENHUM","0.00","0.00","60","Ativo","","",""
"7668","7890000007668","AL CAES PITTY A GRANEL N2 KG","SEM FORNECEDOR CADASTRADO","NAO INFORMADO","R$ 0,00","Ativo","R$ 0,00","R$ 0,00","100,0%","0","Subst. Tributaria","PETISCOS, MOLHOS E PATES","NENHUM","0.00","0.00","60","Ativo","","",""
"10126","7890000010126","AL CAES PREMIER AD AMB INT FRANGO/SALMAO kg","SEM FORNECEDOR CADASTRADO","NAO INFORMADO","R$ 0,00","Ativo","R$ 0,00","R$ 0,00","100,0%","0","Subst. Tributaria","GRANEL","NENHUM","0.00","0.00","60","Ativo","","",""
"25","7897348207405","AL CAES PREMIER AD AMB INT FRANGO/SALMAO12KG","PET&PET","NAO INFORMADO","R$ 219,90","Ativo","R$ 173,45","R$ 46,45","26,8%","0","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"87","7897348202066","AL CAES PREMIER AD AMB INT R PEQ CORD/PERU 2,5KG","PET&PET","NAO INFORMADO","R$ 103,99","Ativo","R$ 64,01","R$ 39,98","62,5%","0","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"29","7897348203193","AL CAES PREMIER AD AMB INT RACA PEQ 12KG","PET&PET","NAO INFORMADO","R$ 249,90","Ativo","R$ 171,20","R$ 78,70","46,0%","2","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"79","7897348201014","AL CAES PREMIER AD AMB INT RACA PEQ 1KG","PET&PET","NAO INFORMADO","R$ 45,99","Ativo","R$ 29,12","R$ 16,87","57,9%","4","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"81","7897348201021","AL CAES PREMIER AD AMB INT RACA PEQ 2,5KG","PET&PET","NAO INFORMADO","R$ 95,99","Ativo","R$ 62,84","R$ 33,15","52,8%","1","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"10112","7890000010112","AL CAES PREMIER AD AMB INT RACA PEQ kg","SEM FORNECEDOR CADASTRADO","NAO INFORMADO","R$ 0,00","Ativo","R$ 0,00","R$ 0,00","100,0%","0","Subst. Tributaria","GRANEL","NENHUM","0.00","0.00","60","Ativo","","",""
"35","7897348204671","AL CAES PREMIER AD CAST 12KG","PET&PET","NAO INFORMADO","R$ 252,90","Ativo","R$ 179,41","R$ 73,49","41,0%","1","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
